DIASEM,kWD,kVarD,kWR,kVarR,kV_l
Saturday,128.97,41.31,2.34,0.55,13.016
Saturday,123.85,41.97,0.99,0.74,13.038
Saturday,119.38,39.7,5.22,0.9,13.198
Saturday,102.89,33.88,3.4,1.92,13.348
Saturday,101.67,28.85,4.53,1.9,13.375
Saturday,105.9,31.66,5.12,0.84,13.232
Saturday,98.52,34.66,2.22,1.97,13.021
Saturday,91.11,26.41,4.22,0.97,13.102
Saturday,67.95,21.92,2.64,1.23,13.066
Saturday,85.07,24.16,2.91,1.53,13.174
Saturday,87.3,31.0,2.87,1.18,12.934
Saturday,81.35,23.89,3.0,2.45,13.217
Saturday,69.1,21.61,4.67,1.15,13.297
Saturday,46.32,15.0,3.19,0.28,13.178
Saturday,69.41,23.43,2.77,1.78,13.269
Saturday,54.65,19.4,2.59,0.75,13.059
Saturday,26.43,8.96,3.51,0.82,12.982
Saturday,54.79,16.86,1.66,0.0,13.105
Saturday,32.7,9.35,2.25,1.6,13.374
Sunday,32.89,11.07,2.92,1.49,13.355
Sunday,38.37,13.73,2.15,1.48,13.132
Sunday,57.45,16.16,2.82,1.59,13.381
Sunday,39.15,13.39,2.08,2.01,13.151
Sunday,45.5,13.38,6.01,0.97,13.427
Sunday,61.08,19.35,4.99,1.56,13.273
Sunday,59.7,19.21,3.67,0.55,13.132
Sunday,42.28,13.92,2.92,0.79,13.319
Sunday,41.79,15.01,6.29,1.63,13.084
Sunday,32.3,10.82,3.48,1.23,13.06
Sunday,40.0,12.46,2.87,0.2,12.982
Sunday,53.92,18.18,3.45,1.22,13.239
Sunday,55.97,17.76,3.46,0.89,13.192
Sunday,55.62,17.41,5.12,0.51,13.188
Sunday,68.02,21.04,2.97,1.26,13.139
Sunday,52.54,16.79,6.15,0.76,13.416
Sunday,63.74,19.28,1.68,0.06,13.136
Sunday,75.96,22.74,4.04,0.33,13.091
Sunday,78.51,22.92,1.5,2.06,13.387
Sunday,88.02,27.75,5.73,0.09,13.413
Sunday,85.43,25.92,2.5,1.13,13.251
Sunday,82.68,28.69,2.91,1.37,12.939
Sunday,94.76,32.96,4.39,1.38,13.11
Sunday,85.35,26.25,4.88,0.26,13.292
Sunday,83.82,27.62,1.33,0.81,13.203
Sunday,112.75,39.71,2.48,1.08,13.433
Sunday,111.43,34.4,0.91,1.48,12.995
Sunday,120.79,39.18,3.21,0.61,13.302
Sunday,105.02,33.13,2.85,0.3,13.106
Sunday,124.74,41.42,2.48,1.6,13.398
Sunday,127.8,45.6,1.97,1.66,13.189
Sunday,130.52,37.99,2.42,1.22,13.355
Sunday,121.22,43.3,1.88,0.63,13.103
Sunday,147.02,49.0,3.79,1.24,12.989
Sunday,165.41,56.85,5.27,1.07,13.033
Sunday,165.11,54.62,0.1,1.5,13.109
Sunday,159.71,55.84,2.83,0.25,13.046
Sunday,170.81,52.28,2.37,1.07,13.38
Sunday,183.69,61.84,3.74,0.9,13.401
Sunday,150.8,45.41,1.57,0.33,13.241
Sunday,183.06,58.71,2.78,1.13,13.045
Sunday,194.16,64.95,1.44,1.02,13.182
Sunday,199.39,59.04,4.05,0.75,13.097
Sunday,213.68,60.88,3.15,1.24,13.418
Sunday,210.85,72.38,2.76,0.15,13.247
Sunday,204.99,70.66,3.56,0.97,13.273
Sunday,207.43,69.13,2.63,1.26,13.14
Sunday,214.82,65.67,0.67,1.17,12.898
Sunday,202.61,67.4,3.89,1.65,13.084
Sunday,209.46,60.05,3.43,0.28,13.033
Sunday,220.71,73.5,2.77,0.1,13.256
Sunday,232.71,75.89,4.48,1.14,13.214
Sunday,210.7,69.4,4.83,1.27,13.08
Sunday,211.98,66.93,1.36,2.27,13.142
Sunday,214.35,63.88,1.83,1.37,13.435
Sunday,225.9,76.37,5.32,0.48,13.056
Sunday,210.33,66.7,5.13,1.48,13.062
Sunday,224.93,76.39,1.89,0.49,13.166
Sunday,197.36,61.01,1.23,0.11,13.095
Sunday,203.63,58.45,2.04,2.57,13.136
Sunday,201.14,65.05,2.25,1.2,13.28
Sunday,208.91,68.9,0.62,1.43,13.46
Sunday,208.66,73.81,3.05,1.34,12.933
Sunday,178.22,62.56,1.08,2.09,13.197
Sunday,180.95,51.49,1.18,1.17,13.206
Sunday,190.4,65.07,4.37,1.73,13.187
Sunday,175.71,52.87,1.98,0.38,13.172
Sunday,162.19,54.46,2.89,0.16,13.149
Sunday,184.83,57.36,3.94,1.86,13.351
Sunday,174.29,53.29,4.22,1.88,13.13
Sunday,169.34,54.03,2.49,1.31,13.181
Sunday,153.95,49.64,3.07,1.14,13.2
Sunday,164.7,55.27,1.76,1.1,13.216
Sunday,145.88,48.29,5.62,0.59,13.174
Sunday,154.64,51.69,3.97,1.92,13.35
Sunday,127.81,39.71,1.35,1.4,13.199
Sunday,122.88,41.06,3.01,1.3,13.226
Sunday,128.57,39.55,4.07,1.23,13.192
Sunday,113.37,37.25,3.72,1.63,13.05
Sunday,122.48,38.8,5.74,1.3,13.076
Sunday,112.59,36.59,5.06,1.45,13.042
Sunday,94.62,26.63,2.19,0.3,13.229
Sunday,99.9,31.96,2.87,1.31,13.093
Sunday,90.22,26.85,1.08,2.31,13.041
Sunday,98.64,30.66,3.37,0.69,13.236
Sunday,77.32,22.11,3.23,0.92,13.279
Sunday,74.69,24.84,7.06,1.54,12.936
Sunday,87.75,30.84,3.15,1.57,13.453
Sunday,94.41,29.11,0.0,1.37,13.205
Sunday,87.86,25.34,1.99,0.03,13.184
Sunday,63.54,20.94,3.17,1.3,13.36
Sunday,61.72,17.91,1.12,0.29,13.21
Sunday,72.51,25.47,1.7,0.51,13.109
Sunday,52.02,15.08,2.45,1.33,13.529
Sunday,40.41,12.48,3.51,0.82,13.039
Sunday,49.79,15.91,2.75,1.49,13.185
