edad,monto_credito,antiguedad_laboral_meses,correo_dominio_gratuito,telefono_verificado,reputacion_negocio,ingresos_declarados,ingresos_declarados_reportados_bis,monto_credito_normalizado,region_operativa_constante,target
38,12541.0,6.0,1,1,0.612,5307.0,4902.0,8.499,1,0
56,15721.0,5.0,1,0,0.195,14150.0,14235.0,10.434,1,0
56,15050.0,2.0,0,0,0.692,8664.0,8755.0,9.678,2,0
23,6396.0,84.0,1,1,0.976,3940.0,4005.0,4.415,1,0
29,4994.0,41.0,0,1,0.385,6309.0,6108.0,3.348,1,0
20,10324.0,6.0,1,1,0.639,11372.0,11597.0,6.615,1,0
28,2987.0,7.0,1,1,0.929,7214.0,6926.0,1.942,1,0
62,8629.0,27.0,1,1,0.957,7050.0,6943.0,6.198,1,0
37,5658.0,25.0,0,0,0.637,12392.0,12181.0,3.738,1,0
20,9479.0,23.0,0,1,0.66,6985.0,6761.0,6.105,1,0
45,5524.0,134.0,0,0,0.502,12638.0,12880.0,3.752,1,0
56,3436.0,44.0,1,1,0.627,18508.0,18488.0,2.157,1,0
34,4928.0,9.0,1,1,0.822,7123.0,7084.0,3.332,2,0
25,3169.0,86.0,0,1,1.0,7020.0,7429.0,2.105,1,0
33,4973.0,20.0,0,1,0.587,9041.0,9574.0,3.311,1,1
29,7221.0,22.0,1,1,0.191,8334.0,8354.0,4.755,1,0
61,2320.0,33.0,1,1,0.337,11845.0,12039.0,1.617,2,0
25,9109.0,8.0,1,0,0.811,5131.0,5073.0,6.074,1,0
33,10944.0,20.0,1,1,0.627,5654.0,6001.0,7.252,1,1
53,5455.0,43.0,0,1,0.577,8499.0,8479.0,3.654,1,0
20,5208.0,19.0,0,0,0.627,9385.0,9511.0,3.277,1,0
23,5420.0,10.0,0,0,0.434,1831.0,1866.0,3.664,1,0
50,5085.0,26.0,0,1,0.29,11289.0,11036.0,3.49,1,0
26,5290.0,5.0,1,0,0.502,18487.0,18000.0,3.627,2,0
55,5384.0,39.0,1,1,0.735,7392.0,7527.0,3.429,1,1
23,9155.0,65.0,1,1,0.604,11751.0,12106.0,5.84,1,0
59,5470.0,36.0,0,1,0.219,8601.0,9065.0,3.692,1,0
31,5949.0,7.0,1,1,0.418,10996.0,11336.0,4.025,1,0
21,6545.0,13.0,1,1,0.652,5843.0,5906.0,4.414,2,1
41,7711.0,20.0,1,0,0.55,5582.0,5430.0,5.237,1,0
28,4878.0,15.0,1,1,0.625,12672.0,12387.0,3.14,1,0
51,5013.0,20.0,1,1,0.681,7462.0,7551.0,3.395,2,0
33,3239.0,0.0,0,1,0.886,8949.0,9118.0,2.117,1,0
34,2975.0,7.0,1,1,0.55,8491.0,8751.0,2.024,1,0
38,5064.0,30.0,0,0,0.736,14459.0,14501.0,3.342,2,1
64,9238.0,18.0,1,1,0.377,7613.0,8111.0,6.361,2,0
22,2827.0,7.0,0,0,0.312,8434.0,8321.0,1.913,1,0
54,7629.0,2.0,0,1,0.575,11097.0,12264.0,5.148,1,0
54,1875.0,7.0,1,0,0.622,6373.0,6357.0,1.242,2,0
40,8321.0,15.0,1,1,0.485,9802.0,10272.0,5.88,2,0
40,2162.0,18.0,1,0,0.934,7957.0,8028.0,1.439,1,0
53,5241.0,9.0,1,1,0.516,6430.0,6532.0,3.508,1,0
52,5027.0,54.0,1,1,0.971,15538.0,15735.0,3.269,1,0
21,2584.0,7.0,0,0,0.606,7058.0,6997.0,1.799,1,0
26,3302.0,1.0,0,1,0.542,4128.0,3996.0,2.27,1,0
46,10685.0,30.0,0,1,0.614,4421.0,4434.0,7.293,1,0
34,4861.0,12.0,0,1,0.875,2315.0,2337.0,3.195,1,0
37,3327.0,49.0,0,0,0.552,12755.0,12275.0,2.284,2,0
46,1486.0,49.0,0,1,0.814,8305.0,8595.0,0.994,1,0
52,3488.0,65.0,1,1,0.467,3709.0,3608.0,2.368,1,0
51,9843.0,16.0,1,0,0.566,17611.0,18940.0,6.335,2,0
45,3055.0,8.0,1,0,0.725,11647.0,11147.0,2.082,1,0
25,4510.0,80.0,1,1,0.479,7329.0,7312.0,2.876,1,0
58,17952.0,25.0,1,1,0.575,5032.0,5277.0,11.7,1,0
61,5855.0,21.0,1,0,0.475,11404.0,11725.0,3.872,1,0
32,5875.0,4.0,0,0,0.488,10554.0,10055.0,3.981,1,0
35,1765.0,48.0,1,1,0.734,8937.0,8955.0,1.156,1,0
58,9003.0,43.0,1,0,0.442,4901.0,4818.0,5.871,1,0
35,3881.0,0.0,1,1,1.0,15053.0,14561.0,2.592,2,0
37,5104.0,2.0,0,1,0.509,7993.0,7803.0,3.432,1,0
58,5564.0,6.0,0,1,0.586,4003.0,3885.0,3.636,1,0
63,2193.0,34.0,1,0,0.447,2193.0,2140.0,1.45,1,0
56,2298.0,15.0,0,0,0.467,5336.0,5355.0,1.55,1,1
48,10986.0,2.0,1,1,0.723,16142.0,15239.0,7.393,1,1
37,5613.0,16.0,0,1,0.22,8372.0,8036.0,3.766,1,0
36,1773.0,80.0,1,0,0.624,9025.0,9175.0,1.208,1,0
58,8002.0,6.0,1,0,0.842,12835.0,12843.0,5.411,2,0
29,3378.0,12.0,1,0,0.52,6157.0,5885.0,2.19,1,0
58,5385.0,0.0,1,1,0.782,8883.0,8525.0,3.55,1,0
54,2282.0,6.0,1,0,0.692,9391.0,9760.0,1.465,2,0
46,10442.0,12.0,0,1,0.356,11500.0,11234.0,6.926,1,1
23,2431.0,26.0,1,1,0.717,8607.0,8967.0,1.611,2,0
25,7846.0,2.0,1,0,0.497,5889.0,5832.0,5.077,1,0
26,6198.0,7.0,0,1,0.522,4999.0,5058.0,4.036,2,0
46,1934.0,18.0,1,1,0.549,11688.0,12041.0,1.263,1,0
38,8709.0,8.0,1,1,0.671,7066.0,7230.0,5.749,2,0
31,1724.0,50.0,1,1,0.243,9484.0,9392.0,1.145,1,1
50,2417.0,8.0,0,0,0.426,8889.0,8992.0,1.589,1,0
49,2707.0,3.0,1,1,0.66,10403.0,10584.0,1.867,2,0
62,2750.0,3.0,1,1,0.472,12480.0,12317.0,1.869,1,0
53,8555.0,24.0,1,1,0.748,13674.0,14034.0,5.568,1,0
50,5231.0,64.0,1,1,0.743,12378.0,12118.0,3.54,1,0
49,15715.0,16.0,1,0,0.723,3321.0,3453.0,10.398,2,0
49,4224.0,109.0,1,0,0.596,5640.0,5579.0,2.78,1,0
41,11161.0,11.0,1,0,0.443,7280.0,7382.0,7.092,1,0
26,5338.0,5.0,0,1,0.774,11426.0,11165.0,3.627,1,0
36,5209.0,1.0,0,1,0.662,19762.0,19837.0,3.466,1,0
35,4970.0,14.0,0,1,0.567,8146.0,8139.0,3.324,1,0
39,4591.0,58.0,1,0,0.533,5995.0,6116.0,3.183,1,1
47,2538.0,1.0,0,0,0.703,8097.0,8450.0,1.742,1,0
26,5651.0,38.0,1,1,0.954,5392.0,5313.0,3.758,1,0
27,8592.0,15.0,1,1,0.728,7685.0,7593.0,5.798,1,0
61,9388.0,5.0,1,1,0.942,14517.0,14953.0,6.406,1,0
33,3382.0,21.0,0,0,0.299,8257.0,8058.0,2.265,1,1
62,11184.0,6.0,1,1,0.952,5858.0,5768.0,7.369,1,0
20,7301.0,49.0,0,1,0.675,12925.0,12508.0,4.966,2,0
57,10463.0,7.0,0,0,0.676,13953.0,14361.0,7.129,1,0
21,4557.0,8.0,1,1,0.838,11348.0,11350.0,2.968,1,0
42,4694.0,23.0,1,0,0.386,13949.0,13444.0,3.024,1,0
36,2943.0,77.0,0,1,0.837,2821.0,2724.0,1.884,2,0
23,7467.0,2.0,1,0,0.402,12822.0,12935.0,5.064,1,0
33,3428.0,5.0,0,0,0.528,9298.0,9617.0,2.265,1,0
36,3786.0,17.0,0,1,0.452,10743.0,10734.0,2.696,2,0
31,6354.0,137.0,0,1,0.796,8598.0,8598.0,4.276,2,0
21,5611.0,1.0,1,1,0.71,5952.0,5852.0,3.687,1,0
53,4683.0,14.0,1,1,0.467,1186.0,1189.0,2.971,1,0
29,4990.0,46.0,0,1,0.968,8110.0,7918.0,3.326,1,0
36,3518.0,39.0,0,1,0.895,6794.0,6464.0,2.334,1,0
21,5134.0,25.0,1,1,0.586,10675.0,10643.0,3.416,1,0
50,3929.0,10.0,1,1,0.612,6516.0,6498.0,2.681,1,0
25,10725.0,5.0,1,1,0.632,7091.0,7221.0,7.27,1,0
41,7971.0,33.0,1,1,1.0,14120.0,15301.0,5.333,2,0
30,6426.0,8.0,1,1,0.544,4266.0,4046.0,4.183,1,0
53,11010.0,47.0,1,1,0.363,8234.0,8816.0,7.178,1,0
38,4401.0,6.0,0,1,0.661,7422.0,7333.0,2.839,2,1
62,5860.0,21.0,0,1,0.274,7851.0,8038.0,3.879,1,0
58,3288.0,2.0,1,1,0.653,10603.0,10588.0,2.219,1,0
54,1836.0,42.0,0,1,0.432,8899.0,8585.0,1.172,1,0
62,2810.0,59.0,1,1,1.0,11285.0,11405.0,1.858,1,0
38,6688.0,38.0,1,0,0.817,4845.0,5055.0,4.517,1,0
57,11054.0,14.0,1,0,0.889,5879.0,6140.0,7.38,1,0
63,7022.0,7.0,0,1,0.514,15120.0,15570.0,4.755,1,1
32,5192.0,93.0,1,1,0.345,11984.0,11578.0,3.42,1,0
27,8873.0,16.0,0,1,0.773,8103.0,8379.0,5.761,2,0
49,2840.0,6.0,1,1,0.414,4631.0,4634.0,1.901,1,1
44,4952.0,61.0,1,1,0.426,5851.0,6010.0,3.42,1,1
56,7438.0,34.0,1,1,0.773,9336.0,9384.0,4.689,1,0
35,2796.0,4.0,1,1,0.302,5149.0,5407.0,1.858,1,1
20,7165.0,41.0,1,1,0.952,7968.0,8215.0,4.965,2,0
20,4331.0,11.0,0,0,0.804,8593.0,8609.0,3.022,1,1
26,3988.0,10.0,0,1,0.578,8165.0,8267.0,2.703,2,0
46,10165.0,141.0,0,1,0.225,5934.0,5747.0,6.732,1,0
24,2860.0,0.0,0,1,0.846,4940.0,4651.0,1.893,1,0
37,14608.0,8.0,1,0,0.72,1248.0,1225.0,9.537,1,0
32,4301.0,15.0,1,1,0.803,10257.0,10461.0,2.841,1,1
51,3306.0,14.0,0,1,0.319,4210.0,4233.0,2.15,2,0
59,5396.0,16.0,0,1,0.665,9920.0,10014.0,3.53,1,0
56,6632.0,5.0,1,0,0.0,6447.0,6111.0,4.583,1,0
54,4479.0,42.0,1,1,0.455,3176.0,3146.0,2.977,1,0
50,4598.0,10.0,0,1,0.655,17071.0,16861.0,3.17,1,0
47,6945.0,7.0,1,0,0.685,5709.0,5810.0,4.712,1,0
31,6394.0,14.0,1,0,0.661,6792.0,6709.0,4.236,1,0
22,9020.0,24.0,1,1,0.589,9317.0,9242.0,5.933,1,0
52,3785.0,20.0,1,1,0.563,10500.0,10224.0,2.545,1,0
39,4049.0,28.0,1,1,0.768,4548.0,4498.0,2.851,2,0
27,8072.0,82.0,1,0,0.371,13016.0,12295.0,5.46,2,0
32,9759.0,17.0,0,1,0.7,10373.0,10333.0,6.532,1,0
22,4551.0,28.0,1,1,0.372,10831.0,10824.0,2.874,1,0
20,5039.0,42.0,0,1,0.728,10180.0,10044.0,3.395,1,0
63,3083.0,1.0,0,1,0.409,4546.0,4194.0,2.061,1,0
51,11009.0,4.0,0,0,0.616,6740.0,6912.0,6.988,1,0
42,4072.0,39.0,1,1,0.405,16135.0,15505.0,2.678,1,0
30,11984.0,11.0,1,1,0.551,10940.0,11104.0,7.622,2,0
57,7642.0,17.0,1,1,0.611,12619.0,12512.0,5.118,1,0
20,6438.0,26.0,0,1,0.673,12725.0,12227.0,4.084,1,0
32,5675.0,0.0,0,1,0.74,7252.0,7264.0,3.841,1,0
45,10158.0,21.0,0,1,0.571,7894.0,8116.0,7.125,1,0
59,3307.0,48.0,1,1,0.499,13195.0,13284.0,2.293,1,0
53,6167.0,11.0,1,1,0.646,10674.0,10371.0,4.163,1,0
44,3932.0,42.0,0,1,0.819,8817.0,8893.0,2.722,1,0
27,3329.0,17.0,0,0,0.462,12816.0,12591.0,2.195,1,0
24,7139.0,21.0,0,0,0.582,10038.0,10154.0,4.593,1,0
37,5788.0,15.0,1,0,0.6,5411.0,5413.0,3.826,1,1
25,8040.0,22.0,1,1,0.618,5993.0,5747.0,5.165,1,0
25,10743.0,46.0,1,1,0.716,8046.0,8031.0,7.009,1,1
37,8144.0,48.0,1,0,0.799,9020.0,8856.0,5.491,1,0
40,1304.0,51.0,0,1,0.21,7105.0,7357.0,0.81,1,0
63,9426.0,75.0,1,1,0.436,12349.0,12504.0,6.206,1,0
42,8526.0,20.0,0,1,0.236,10280.0,10229.0,5.758,1,0
21,4070.0,39.0,1,0,0.379,5654.0,5836.0,2.845,2,1
30,3999.0,5.0,1,0,0.599,11438.0,11281.0,2.684,1,1
26,9807.0,18.0,0,0,0.985,8308.0,8247.0,6.602,1,0
57,6280.0,23.0,1,0,0.546,11645.0,11504.0,4.468,1,0
53,3137.0,33.0,1,0,0.731,14047.0,13900.0,2.129,1,0
59,6193.0,49.0,1,1,0.454,5009.0,4866.0,4.113,1,0
20,5974.0,28.0,1,1,0.693,6275.0,6201.0,3.939,1,0
50,4512.0,41.0,0,1,0.901,8866.0,8588.0,3.151,1,0
62,6365.0,26.0,1,1,0.603,7666.0,7397.0,4.288,1,0
43,1666.0,67.0,1,1,0.574,11120.0,10515.0,1.166,1,0
27,12714.0,14.0,1,1,0.443,7831.0,8200.0,8.222,1,1
24,6642.0,6.0,0,1,0.701,11167.0,11174.0,4.419,1,0
45,11846.0,10.0,0,1,0.713,6684.0,6293.0,7.732,2,0
37,12683.0,56.0,1,1,0.79,9880.0,10336.0,8.307,1,0
37,2742.0,1.0,1,1,0.958,3624.0,3723.0,1.817,1,1
63,4610.0,1.0,0,1,0.288,5283.0,4954.0,3.026,1,0
29,18070.0,10.0,1,1,0.707,7011.0,6947.0,11.974,1,0
21,9380.0,24.0,1,1,0.728,7943.0,7555.0,6.13,1,0
42,3621.0,29.0,0,1,0.385,5229.0,5036.0,2.529,1,0
53,8748.0,8.0,1,0,0.451,6453.0,6674.0,6.106,1,1
47,4424.0,10.0,0,1,0.755,5296.0,5281.0,2.923,1,0
60,3357.0,3.0,1,1,0.667,18629.0,19127.0,2.224,2,0
38,7787.0,14.0,0,1,0.549,6183.0,5955.0,5.251,1,1
49,9209.0,50.0,1,1,0.528,10821.0,11147.0,6.274,2,0
61,12638.0,19.0,1,1,0.449,5484.0,5582.0,8.385,1,0
22,2576.0,67.0,1,1,0.628,12879.0,12963.0,1.647,1,0
30,4324.0,59.0,1,1,0.464,11897.0,11434.0,2.866,1,1
46,5176.0,88.0,1,1,0.602,5125.0,4965.0,3.459,1,0
44,14516.0,47.0,1,1,0.25,4571.0,4606.0,9.506,1,0
29,5162.0,5.0,0,1,0.191,8381.0,8029.0,3.364,1,0
31,1130.0,46.0,0,1,0.582,4232.0,4182.0,0.748,1,0
36,2533.0,24.0,0,0,0.647,3051.0,2854.0,1.745,1,0
22,11887.0,23.0,0,1,0.44,4139.0,4060.0,7.951,1,0
29,6329.0,12.0,1,0,0.737,7790.0,7897.0,4.137,1,0
49,3190.0,29.0,1,1,0.549,11055.0,11074.0,2.224,1,0
21,1811.0,2.0,0,1,0.712,6652.0,6738.0,1.294,1,0
33,5052.0,22.0,0,1,0.351,11345.0,11059.0,3.404,2,0
41,3078.0,3.0,0,1,0.333,5897.0,6089.0,2.054,1,0
45,7196.0,3.0,1,1,0.665,12158.0,12156.0,4.815,1,0
46,6037.0,52.0,0,0,0.769,11169.0,11081.0,4.099,1,0
34,5289.0,23.0,0,1,0.741,7865.0,7922.0,3.403,1,0
24,3547.0,18.0,1,0,0.403,2770.0,2719.0,2.409,1,0
51,10470.0,41.0,1,1,0.367,19764.0,19107.0,6.944,2,0
36,4295.0,61.0,1,0,0.479,9076.0,8889.0,2.772,1,0
26,4710.0,1.0,1,1,0.301,2399.0,2425.0,3.334,2,1
48,4391.0,1.0,0,0,0.436,9849.0,9545.0,2.917,1,0
36,4894.0,48.0,1,1,0.882,8265.0,7906.0,3.244,1,0
23,5814.0,4.0,1,1,0.43,8176.0,7910.0,3.761,2,0
32,5245.0,26.0,0,1,0.722,7073.0,7074.0,3.422,1,0
26,7483.0,32.0,1,0,0.267,7626.0,7935.0,5.014,1,1
25,6979.0,51.0,0,0,0.473,9724.0,9861.0,4.769,1,0
40,10077.0,1.0,0,1,0.716,12705.0,13312.0,6.313,1,0
26,4958.0,0.0,1,1,0.645,4492.0,4580.0,3.125,2,0
41,3031.0,35.0,0,1,0.668,8037.0,8096.0,2.053,1,0
58,4259.0,2.0,1,1,0.608,5055.0,5252.0,2.789,1,0
50,3785.0,13.0,1,1,0.938,7490.0,7243.0,2.463,2,0
33,8633.0,66.0,0,0,0.994,7163.0,7692.0,5.622,1,0
48,3898.0,4.0,1,0,0.359,7212.0,7452.0,2.606,1,1
35,5984.0,1.0,1,0,0.471,5823.0,5654.0,4.004,1,1
57,7774.0,7.0,1,0,0.662,7114.0,7228.0,5.279,1,0
39,3891.0,2.0,0,1,0.257,15362.0,15348.0,2.543,1,0
55,1550.0,2.0,0,1,0.612,20446.0,20517.0,1.037,2,0
38,10595.0,61.0,1,1,0.704,7199.0,7195.0,6.898,1,0
42,6484.0,51.0,1,0,0.431,13852.0,13951.0,4.319,2,0
42,4069.0,6.0,0,1,0.466,1941.0,1954.0,2.664,1,0
61,1520.0,4.0,1,1,0.936,9662.0,9477.0,0.985,1,0
35,5190.0,1.0,1,0,0.711,3403.0,3429.0,3.519,1,0
53,1908.0,6.0,1,0,0.803,14133.0,14211.0,1.245,2,0
49,5867.0,2.0,1,1,0.747,14705.0,15011.0,4.012,2,0
34,8536.0,32.0,0,0,0.713,5129.0,5314.0,5.623,1,0
38,1561.0,75.0,1,1,0.925,9517.0,9647.0,1.03,2,0
38,9982.0,4.0,1,1,0.549,14986.0,15302.0,6.686,1,0
32,5695.0,24.0,0,1,0.714,6054.0,6138.0,3.729,1,0
60,5465.0,15.0,0,1,0.712,5930.0,6199.0,3.765,1,0
56,3366.0,27.0,0,1,0.599,5196.0,5042.0,2.213,1,0
27,3502.0,17.0,1,1,0.218,5177.0,5102.0,2.409,1,0
44,7576.0,23.0,1,1,0.59,15710.0,14883.0,5.104,1,1
34,4549.0,16.0,1,0,0.263,12467.0,12159.0,2.896,1,0
55,6404.0,47.0,1,1,0.706,6827.0,6803.0,4.545,1,0
30,12331.0,37.0,0,0,0.76,7517.0,7570.0,8.216,1,0
50,4548.0,3.0,1,1,1.0,10709.0,10692.0,2.932,1,0
44,6178.0,8.0,1,0,0.834,8082.0,8498.0,4.152,1,1
48,9887.0,1.0,1,1,0.422,8678.0,8584.0,6.529,1,0
63,7293.0,19.0,1,1,0.506,14558.0,14133.0,4.922,1,0
32,2868.0,3.0,0,1,0.522,5963.0,5904.0,1.889,1,0
54,7957.0,30.0,1,1,0.498,8364.0,8067.0,5.386,1,0
49,4959.0,42.0,1,1,0.815,8732.0,8677.0,3.326,1,0
45,6604.0,13.0,0,1,0.803,7204.0,7233.0,4.437,1,0
62,4796.0,69.0,0,1,0.481,6378.0,6469.0,3.113,2,0
52,3111.0,40.0,1,1,0.916,3891.0,3705.0,2.073,2,0
62,1995.0,15.0,1,1,0.543,5536.0,5672.0,1.395,1,1
47,8253.0,0.0,0,0,0.626,7463.0,7439.0,5.303,1,0
55,4468.0,33.0,0,1,0.294,16065.0,16769.0,3.033,1,0
45,1733.0,8.0,1,1,0.213,7042.0,7057.0,1.175,1,0
40,8992.0,38.0,1,0,0.572,7722.0,7611.0,6.117,1,0
50,3266.0,10.0,1,1,0.516,15216.0,15091.0,2.162,1,0
58,6197.0,9.0,1,1,0.512,10164.0,10246.0,3.974,2,0
29,1947.0,3.0,0,1,0.83,8341.0,8310.0,1.316,1,0
63,4736.0,37.0,0,1,0.75,12883.0,13203.0,3.238,1,0
32,3323.0,38.0,0,1,0.836,6205.0,6206.0,2.142,1,0
25,3868.0,43.0,1,1,0.676,13162.0,13005.0,2.612,1,0
20,6803.0,22.0,1,1,0.83,11818.0,11927.0,4.541,1,0
53,12857.0,9.0,0,1,0.347,10476.0,10183.0,8.197,1,0
29,3863.0,1.0,1,1,0.688,16908.0,17114.0,2.59,1,0
35,4797.0,6.0,1,1,0.641,11063.0,11512.0,3.191,2,0
38,6707.0,32.0,0,1,1.0,13023.0,13093.0,4.51,1,0
36,2869.0,10.0,0,0,0.499,7795.0,7654.0,1.907,1,0
23,5938.0,36.0,1,1,0.636,4428.0,4392.0,3.967,2,0
41,5146.0,8.0,1,1,0.57,11753.0,11617.0,3.5,1,0
23,6239.0,21.0,1,0,0.637,11885.0,11567.0,4.178,1,1
22,11092.0,26.0,0,1,0.609,7956.0,7925.0,7.343,1,0
48,7926.0,9.0,0,1,0.678,11826.0,11447.0,5.327,1,0
39,9169.0,8.0,0,0,0.411,13182.0,12876.0,6.113,1,0
56,7185.0,45.0,1,1,0.768,6566.0,6427.0,4.917,1,0
24,3159.0,6.0,1,0,0.645,11612.0,11909.0,2.153,1,0
53,5043.0,48.0,1,0,0.926,5509.0,5535.0,3.375,2,0
64,10557.0,68.0,1,1,0.952,6197.0,5893.0,7.068,2,0
47,6899.0,35.0,1,1,0.025,13892.0,13961.0,4.631,1,0
28,4318.0,12.0,1,1,0.6,7418.0,7440.0,3.014,1,0
52,7450.0,8.0,0,1,0.69,12806.0,13035.0,5.081,1,0
46,9466.0,11.0,1,1,0.427,8924.0,9250.0,6.543,1,0
45,6739.0,31.0,0,1,0.724,9380.0,9418.0,4.521,1,0
30,6753.0,5.0,1,0,0.581,2589.0,2697.0,4.732,1,0
36,8616.0,11.0,1,1,0.362,4616.0,4548.0,5.918,1,0
62,11891.0,23.0,0,0,0.635,6990.0,6857.0,8.153,1,0
42,2180.0,63.0,0,1,0.769,9016.0,8976.0,1.417,1,0
24,5254.0,21.0,1,1,0.398,13529.0,13729.0,3.673,1,0
23,7056.0,33.0,0,1,0.599,8366.0,8237.0,4.751,2,0
56,11649.0,6.0,1,1,0.927,7809.0,8323.0,7.676,1,1
41,8062.0,38.0,1,1,0.498,4364.0,4560.0,5.462,1,0
36,9372.0,14.0,0,1,0.765,17368.0,17758.0,6.611,1,0
21,4530.0,1.0,0,0,0.764,6269.0,6095.0,2.922,1,0
52,2311.0,7.0,1,1,0.801,8620.0,8629.0,1.603,1,0
47,8232.0,35.0,1,1,0.653,8656.0,8549.0,5.95,1,1
61,3206.0,52.0,1,1,0.385,3215.0,3256.0,2.1,1,0
28,7099.0,5.0,0,1,0.481,7356.0,7471.0,4.705,1,1
51,2151.0,15.0,1,1,0.631,15506.0,15587.0,1.411,1,0
29,7082.0,13.0,1,0,0.699,3961.0,3696.0,4.794,1,1
51,8347.0,46.0,0,0,0.594,7417.0,7459.0,5.461,2,0
42,7043.0,17.0,0,1,0.576,9360.0,9520.0,4.856,1,0
23,2194.0,8.0,1,1,0.622,8163.0,7906.0,1.482,1,0
60,5758.0,16.0,0,1,0.599,7856.0,7710.0,3.902,2,0
57,14908.0,20.0,1,1,0.374,8738.0,8485.0,9.701,1,0
26,4298.0,1.0,1,1,0.605,5125.0,4833.0,2.799,1,0
49,5805.0,10.0,1,1,0.892,12872.0,12123.0,4.072,1,0
50,6300.0,1.0,0,1,0.448,7023.0,7028.0,4.033,2,1
46,9951.0,14.0,0,0,0.894,5170.0,5251.0,6.442,1,1
49,8495.0,1.0,0,0,1.0,3324.0,3322.0,5.782,1,0
57,2986.0,30.0,0,1,0.645,10046.0,9978.0,1.99,1,0
62,10438.0,14.0,1,0,0.501,13978.0,14104.0,6.962,2,0
36,7541.0,75.0,1,1,0.199,3874.0,3964.0,5.135,2,0
27,1958.0,11.0,1,1,0.719,10756.0,10903.0,1.289,1,0
32,6826.0,17.0,1,0,0.671,2756.0,2805.0,4.552,2,0
26,7951.0,21.0,1,0,0.472,17017.0,17243.0,5.239,1,0
55,8343.0,10.0,1,1,0.436,12879.0,12873.0,5.451,1,0
29,1581.0,44.0,1,1,0.441,12882.0,13279.0,1.064,2,0
28,9506.0,0.0,1,1,0.621,18367.0,18302.0,6.469,1,0
60,3116.0,113.0,0,0,0.632,8418.0,8733.0,2.038,2,0
42,9795.0,50.0,0,1,0.383,12862.0,12949.0,6.286,1,0
53,4437.0,11.0,0,1,0.371,9849.0,10160.0,3.024,2,0
60,4171.0,9.0,0,1,0.48,12060.0,12077.0,2.814,1,0
27,6588.0,2.0,1,0,0.978,13637.0,13925.0,4.343,1,0
45,6695.0,28.0,1,0,0.51,16699.0,16054.0,4.582,2,0
56,6785.0,3.0,0,1,0.354,13850.0,13253.0,4.434,1,0
52,8074.0,80.0,1,0,0.061,11347.0,11245.0,5.225,1,0
64,2121.0,18.0,0,0,0.217,8814.0,8436.0,1.394,2,0
56,3409.0,7.0,0,1,0.466,6665.0,6365.0,2.433,1,0
42,2895.0,12.0,1,1,0.946,13140.0,13183.0,1.98,1,0
28,5068.0,7.0,1,1,0.337,10093.0,9998.0,3.222,1,0
64,10756.0,26.0,1,0,0.199,7987.0,8015.0,7.037,1,0
36,7877.0,31.0,1,0,0.797,10121.0,10178.0,5.191,1,0
31,6870.0,3.0,1,1,0.635,6493.0,6498.0,4.587,2,0
43,1904.0,3.0,0,1,0.718,4193.0,4075.0,1.236,1,1
63,7780.0,6.0,1,0,0.67,8783.0,8962.0,5.021,2,0
25,3046.0,2.0,1,1,0.737,3361.0,3320.0,1.899,1,1
63,6938.0,39.0,1,1,0.651,6763.0,6743.0,4.542,1,1
20,4526.0,3.0,0,1,0.662,9353.0,9413.0,3.011,1,0
39,3960.0,14.0,0,0,0.404,10292.0,9983.0,2.732,1,1
64,5327.0,52.0,0,1,0.697,3527.0,3453.0,3.597,1,0
38,8587.0,19.0,1,1,0.553,9255.0,8939.0,5.779,1,0
55,14174.0,2.0,1,1,0.481,7321.0,7311.0,9.533,1,1
34,5659.0,5.0,1,1,0.742,6503.0,6440.0,3.899,1,0
38,6577.0,15.0,1,1,0.646,6567.0,6454.0,4.661,1,0
35,1894.0,0.0,0,0,0.844,2435.0,2409.0,1.236,2,0
49,2266.0,20.0,1,1,0.522,3926.0,3825.0,1.406,1,0
50,2152.0,55.0,1,1,0.602,6941.0,7152.0,1.463,2,0
34,4940.0,3.0,1,1,0.629,6311.0,6198.0,3.256,1,0
52,6068.0,4.0,1,0,0.749,16671.0,17079.0,4.045,1,0
47,3679.0,38.0,1,1,0.723,4130.0,4088.0,2.602,1,0
64,2179.0,19.0,1,1,0.62,10560.0,9942.0,1.445,1,0
33,2142.0,34.0,1,1,0.719,5499.0,5216.0,1.491,1,0
47,4383.0,3.0,0,1,0.375,9227.0,9599.0,2.909,1,0
56,15658.0,49.0,1,0,0.606,19314.0,19108.0,9.991,1,0
26,3842.0,8.0,1,1,0.419,10222.0,10048.0,2.564,1,0
20,3140.0,36.0,1,1,0.545,12989.0,12983.0,2.089,1,0
47,8022.0,17.0,1,1,0.56,4806.0,4667.0,5.227,1,0
44,9319.0,24.0,1,0,0.738,9439.0,9951.0,6.295,1,0
40,8086.0,9.0,0,1,0.624,13665.0,13968.0,5.354,1,0
23,2899.0,4.0,0,0,0.603,9822.0,10153.0,2.021,1,0
43,6886.0,17.0,1,1,0.593,4113.0,4120.0,4.654,1,0
41,2648.0,10.0,0,0,0.396,10140.0,9853.0,1.785,1,0
37,7184.0,1.0,1,0,0.729,9939.0,9213.0,4.742,1,1
57,8905.0,1.0,1,1,0.66,5015.0,5149.0,5.941,1,0
59,4934.0,48.0,0,1,0.597,14268.0,14101.0,3.253,1,0
34,4957.0,16.0,0,1,0.539,3940.0,3869.0,3.404,1,0
56,5916.0,2.0,0,1,0.416,8811.0,9141.0,4.037,1,0
