PLACA_INI_INTERRUP,PLACA_FIN_INTERRUP,ELEM_FIN_INTERRUP,FECHA_INI_INTERRUP,FECHA_FIN_INTERRUP,DURACION_INT_HRS,CAUSA_FALLA,COMENTARIOS_OA,MUNICIPIO_ELEM_INI,CKTO_ELE_OPE
PLACA_0076,PLACA_0039,Conductor,2015-06-24 11:00:00,2015-06-24 11:55:12,0.92,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_4,Circuito_12
PLACA_0110,PLACA_0062,Poste,2014-02-12 12:00:00,2014-02-12 17:40:48,5.68,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_2,Circuito_7
PLACA_0038,PLACA_0003,Conductor,2014-08-29 22:00:00,2014-08-30 09:07:48,11.13,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_5
PLACA_0096,PLACA_0064,Seccionador,2013-04-11 19:00:00,2013-04-12 01:06:00,6.1,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_2,Circuito_10
PLACA_0080,PLACA_0033,Conductor,2016-07-27 06:00:00,2016-07-27 13:00:36,7.01,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_6,Circuito_13
PLACA_0116,PLACA_0081,Conductor,2016-07-10 03:00:00,2016-07-10 04:38:24,1.64,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_1,Circuito_5
PLACA_0094,PLACA_0017,Poste,2016-04-01 11:00:00,2016-04-01 15:09:00,4.15,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_3,Circuito_6
PLACA_0101,PLACA_0070,Seccionador,2014-02-16 04:00:00,2014-02-16 09:10:48,5.18,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_5,Circuito_9
PLACA_0104,PLACA_0038,Conductor,2014-06-11 15:00:00,2014-06-11 16:11:24,1.19,Otros,Objeto extraño enredado en la red de distribucion,Municipio_3,Circuito_13
PLACA_0111,PLACA_0087,Conductor,2013-10-16 07:00:00,2013-10-16 15:37:12,8.62,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_7
PLACA_0102,PLACA_0051,Poste,2015-01-20 02:00:00,2015-01-20 02:45:00,0.75,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_3,Circuito_9
PLACA_0087,PLACA_0034,Aislador,2016-10-09 23:00:00,2016-10-10 06:45:00,7.75,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_4,Circuito_14
PLACA_0030,PLACA_0061,Poste,2013-08-10 21:00:00,2013-08-10 21:45:00,0.75,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_15
PLACA_0083,PLACA_0009,Conductor,2016-06-03 07:00:00,2016-06-03 08:15:00,1.25,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_15
PLACA_0018,PLACA_0006,Poste,2015-04-17 03:00:00,2015-04-17 07:12:36,4.21,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_8
PLACA_0050,PLACA_0059,Seccionador,2016-01-06 04:00:00,2016-01-06 07:10:12,3.17,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_12
PLACA_0096,PLACA_0094,Transformador,2015-05-09 18:00:00,2015-05-09 20:11:24,2.19,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_11
PLACA_0036,PLACA_0005,Conductor,2016-06-14 13:00:00,2016-06-14 21:24:00,8.4,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_3,Circuito_4
PLACA_0088,PLACA_0048,Aislador,2015-01-13 03:00:00,2015-01-13 03:56:24,0.94,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_6
PLACA_0109,PLACA_0106,Fusible,2014-01-24 03:00:00,2014-01-24 05:39:36,2.66,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_1,Circuito_11
PLACA_0007,PLACA_0101,Seccionador,2016-05-07 00:00:00,2016-05-07 04:35:24,4.59,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_2,Circuito_3
PLACA_0027,PLACA_0076,Transformador,2013-05-21 17:00:00,2013-05-21 20:42:00,3.7,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_6
PLACA_0110,PLACA_0019,Transformador,2013-01-06 08:00:00,2013-01-06 09:46:12,1.77,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_5,Circuito_5
PLACA_0017,PLACA_0002,Seccionador,2016-09-15 00:00:00,2016-09-15 01:49:48,1.83,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_10
PLACA_0017,PLACA_0095,Fusible,2014-06-28 01:00:00,2014-06-28 06:26:24,5.44,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_2
PLACA_0066,PLACA_0076,Poste,2015-07-08 11:00:00,2015-07-08 16:36:36,5.61,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_9
PLACA_0101,PLACA_0117,Conductor,2013-03-30 23:00:00,2013-03-31 02:46:12,3.77,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_5
PLACA_0109,PLACA_0052,Fusible,2013-05-05 15:00:00,2013-05-05 16:27:36,1.46,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_2
PLACA_0042,PLACA_0078,Transformador,2013-05-31 02:00:00,2013-05-31 03:52:48,1.88,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_3
PLACA_0092,PLACA_0042,Fusible,2016-04-13 17:00:00,2016-04-13 19:57:00,2.95,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_9
PLACA_0013,PLACA_0102,Conductor,2016-05-24 13:00:00,2016-05-24 16:16:48,3.28,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_1,Circuito_14
PLACA_0058,PLACA_0114,Transformador,2014-03-17 13:00:00,2014-03-17 17:27:36,4.46,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_6
PLACA_0013,PLACA_0041,Fusible,2015-05-02 23:00:00,2015-05-03 01:33:00,2.55,Otros,Cometa sobre la linea reportada por vecinos,Municipio_3,Circuito_11
PLACA_0012,PLACA_0107,Poste,2015-08-30 02:00:00,2015-08-30 07:21:36,5.36,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_1,Circuito_7
PLACA_0072,PLACA_0008,Aislador,2015-02-03 04:00:00,2015-02-03 09:19:12,5.32,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_5,Circuito_9
PLACA_0112,PLACA_0086,Fusible,2015-04-22 11:00:00,2015-04-22 18:10:12,7.17,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_1
PLACA_0014,PLACA_0074,Aislador,2014-10-02 11:00:00,2014-10-02 14:03:00,3.05,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_2,Circuito_3
PLACA_0109,PLACA_0072,Seccionador,2013-08-10 11:00:00,2013-08-10 14:49:12,3.82,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_1,Circuito_13
PLACA_0099,PLACA_0105,Aislador,2015-05-29 17:00:00,2015-05-29 19:42:36,2.71,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_11
PLACA_0107,PLACA_0089,Seccionador,2016-06-01 21:00:00,2016-06-01 22:28:12,1.47,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_1,Circuito_3
PLACA_0001,PLACA_0024,Transformador,2014-11-27 11:00:00,2014-11-27 21:57:36,10.96,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_5,Circuito_11
PLACA_0012,PLACA_0096,Aislador,2016-07-20 00:00:00,2016-07-20 06:34:48,6.58,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_2,Circuito_7
PLACA_0040,PLACA_0093,Seccionador,2013-11-19 11:00:00,2013-11-19 16:14:24,5.24,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_5,Circuito_10
PLACA_0097,PLACA_0080,Poste,2013-11-15 05:00:00,2013-11-15 07:58:12,2.97,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_2
PLACA_0078,PLACA_0057,Fusible,2015-05-19 15:00:00,2015-05-19 16:21:36,1.36,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_3,Circuito_4
PLACA_0015,PLACA_0037,Conductor,2014-12-08 13:00:00,2014-12-08 18:52:48,5.88,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_6,Circuito_10
PLACA_0029,PLACA_0051,Aislador,2014-09-24 01:00:00,2014-09-24 03:40:12,2.67,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_1,Circuito_1
PLACA_0038,PLACA_0042,Poste,2013-10-09 08:00:00,2013-10-09 12:04:12,4.07,Contacto animal,Ave posada provoco corto en el aislador,Municipio_1,Circuito_8
PLACA_0069,PLACA_0091,Transformador,2013-09-22 12:00:00,2013-09-22 13:52:12,1.87,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_5,Circuito_9
PLACA_0111,PLACA_0095,Poste,2013-05-28 12:00:00,2013-05-28 15:36:36,3.61,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_1
PLACA_0055,PLACA_0074,Fusible,2014-10-04 18:00:00,2014-10-04 19:58:12,1.97,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_11
PLACA_0042,PLACA_0022,Aislador,2015-04-10 00:00:00,2015-04-10 02:01:48,2.03,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_14
PLACA_0109,PLACA_0014,Transformador,2013-06-30 13:00:00,2013-06-30 16:34:12,3.57,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_10
PLACA_0096,PLACA_0044,Transformador,2015-03-22 09:00:00,2015-03-22 09:44:24,0.74,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_3,Circuito_13
PLACA_0068,PLACA_0066,Transformador,2016-07-20 03:00:00,2016-07-20 03:46:12,0.77,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_3,Circuito_6
PLACA_0014,PLACA_0019,Seccionador,2013-10-30 07:00:00,2013-10-30 08:37:12,1.62,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_3
PLACA_0099,PLACA_0081,Fusible,2013-06-04 05:00:00,2013-06-04 07:31:48,2.53,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_13
PLACA_0119,PLACA_0113,Aislador,2015-07-09 21:00:00,2015-07-10 02:28:12,5.47,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_11
PLACA_0020,PLACA_0057,Poste,2016-07-08 10:00:00,2016-07-08 12:38:24,2.64,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_8
PLACA_0046,PLACA_0065,Poste,2016-04-26 01:00:00,2016-04-26 03:57:36,2.96,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_3,Circuito_8
PLACA_0010,PLACA_0083,Poste,2015-01-26 09:00:00,2015-01-26 11:22:48,2.38,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_10
PLACA_0102,PLACA_0095,Poste,2016-04-03 17:00:00,2016-04-03 20:48:36,3.81,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_15
PLACA_0078,PLACA_0061,Aislador,2014-01-21 10:00:00,2014-01-21 11:27:36,1.46,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_1
PLACA_0083,PLACA_0023,Poste,2013-06-22 16:00:00,2013-06-22 18:45:00,2.75,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_2,Circuito_12
PLACA_0079,PLACA_0021,Seccionador,2015-12-10 16:00:00,2015-12-10 20:01:48,4.03,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_3,Circuito_15
PLACA_0077,PLACA_0007,Conductor,2014-11-24 21:00:00,2014-11-25 00:33:00,3.55,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_6
PLACA_0050,PLACA_0037,Seccionador,2016-02-17 21:00:00,2016-02-18 00:01:48,3.03,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_14
PLACA_0011,PLACA_0075,Conductor,2013-11-04 10:00:00,2013-11-04 13:03:36,3.06,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_15
PLACA_0017,PLACA_0077,Conductor,2016-09-18 12:00:00,2016-09-18 16:18:36,4.31,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_1,Circuito_5
PLACA_0086,PLACA_0090,Conductor,2014-11-04 04:00:00,2014-11-04 15:18:00,11.3,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_15
PLACA_0066,PLACA_0047,Poste,2016-10-05 13:00:00,2016-10-05 14:33:00,1.55,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_5
PLACA_0025,PLACA_0029,Transformador,2014-12-01 15:00:00,2014-12-02 02:30:36,11.51,Contacto animal,Ave posada provoco corto en el aislador,Municipio_2,Circuito_2
PLACA_0107,PLACA_0095,Aislador,2015-11-06 17:00:00,2015-11-06 18:29:24,1.49,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_1,Circuito_11
PLACA_0049,PLACA_0020,Transformador,2013-09-26 19:00:00,2013-09-26 19:16:48,0.28,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_2,Circuito_14
PLACA_0057,PLACA_0006,Fusible,2013-12-06 23:00:00,2013-12-07 00:56:24,1.94,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_11
PLACA_0097,PLACA_0096,Fusible,2016-06-04 09:00:00,2016-06-04 12:52:12,3.87,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_9
PLACA_0087,PLACA_0074,Fusible,2014-02-02 11:00:00,2014-02-02 20:48:36,9.81,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_13
PLACA_0054,PLACA_0021,Transformador,2015-10-27 16:00:00,2015-10-27 17:21:36,1.36,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_5,Circuito_3
PLACA_0112,PLACA_0048,Aislador,2016-08-06 15:00:00,2016-08-06 19:17:24,4.29,Otros,Objeto extraño enredado en la red de distribucion,Municipio_1,Circuito_12
PLACA_0098,PLACA_0021,Seccionador,2014-08-07 02:00:00,2014-08-07 02:51:36,0.86,Otros,Objeto extraño enredado en la red de distribucion,Municipio_4,Circuito_15
PLACA_0105,PLACA_0058,Seccionador,2013-07-07 07:00:00,2013-07-07 16:35:24,9.59,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_7
PLACA_0050,PLACA_0011,Seccionador,2015-02-05 07:00:00,2015-02-05 13:39:36,6.66,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_2,Circuito_1
PLACA_0102,PLACA_0019,Transformador,2016-08-24 10:00:00,2016-08-24 12:02:24,2.04,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_1,Circuito_5
PLACA_0061,PLACA_0058,Aislador,2013-10-12 22:00:00,2013-10-13 05:22:12,7.37,Otros,Cometa sobre la linea reportada por vecinos,Municipio_1,Circuito_15
PLACA_0071,PLACA_0094,Aislador,2014-03-18 04:00:00,2014-03-18 06:44:24,2.74,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_5,Circuito_7
PLACA_0016,PLACA_0007,Transformador,2014-05-02 09:00:00,2014-05-02 15:53:24,6.89,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_4,Circuito_11
PLACA_0108,PLACA_0116,Fusible,2013-05-09 03:00:00,2013-05-09 06:00:36,3.01,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_9
PLACA_0092,PLACA_0019,Seccionador,2016-03-23 07:00:00,2016-03-23 10:06:36,3.11,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_4,Circuito_1
PLACA_0024,PLACA_0086,Conductor,2016-03-14 13:00:00,2016-03-14 15:04:12,2.07,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_1,Circuito_9
PLACA_0065,PLACA_0101,Aislador,2015-12-14 17:00:00,2015-12-14 21:41:24,4.69,Otros,Objeto extraño enredado en la red de distribucion,Municipio_5,Circuito_1
PLACA_0050,PLACA_0048,Seccionador,2013-03-31 20:00:00,2013-03-31 23:17:24,3.29,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_1
PLACA_0094,PLACA_0085,Conductor,2014-12-08 07:00:00,2014-12-08 11:21:36,4.36,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_1,Circuito_13
PLACA_0046,PLACA_0070,Seccionador,2013-10-01 01:00:00,2013-10-01 01:39:36,0.66,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_6,Circuito_3
PLACA_0062,PLACA_0081,Transformador,2015-08-10 22:00:00,2015-08-11 05:03:36,7.06,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_2,Circuito_2
PLACA_0026,PLACA_0006,Transformador,2013-03-17 09:00:00,2013-03-17 17:14:24,8.24,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_1,Circuito_6
PLACA_0061,PLACA_0033,Poste,2015-03-27 17:00:00,2015-03-27 20:16:48,3.28,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_6,Circuito_4
PLACA_0035,PLACA_0016,Seccionador,2016-09-04 10:00:00,2016-09-04 20:47:24,10.79,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_15
PLACA_0024,PLACA_0064,Conductor,2015-03-03 10:00:00,2015-03-03 19:12:36,9.21,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_6
PLACA_0094,PLACA_0055,Poste,2014-07-01 02:00:00,2014-07-01 06:45:36,4.76,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_4,Circuito_10
PLACA_0042,PLACA_0014,Poste,2016-01-23 09:00:00,2016-01-23 16:26:24,7.44,Otros,Objeto extraño enredado en la red de distribucion,Municipio_3,Circuito_11
PLACA_0055,PLACA_0022,Conductor,2016-05-19 22:00:00,2016-05-20 04:11:24,6.19,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_6
PLACA_0056,PLACA_0036,Conductor,2014-12-24 19:00:00,2014-12-24 19:29:24,0.49,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_1,Circuito_2
PLACA_0103,PLACA_0096,Conductor,2015-01-15 16:00:00,2015-01-15 18:25:12,2.42,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_1
PLACA_0005,PLACA_0017,Poste,2016-10-20 14:00:00,2016-10-20 19:00:00,5.0,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_2,Circuito_13
PLACA_0005,PLACA_0078,Transformador,2015-02-24 18:00:00,2015-02-25 02:36:00,8.6,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_6,Circuito_8
PLACA_0074,PLACA_0018,Aislador,2015-06-29 02:00:00,2015-06-29 02:48:00,0.8,Otros,Cometa sobre la linea reportada por vecinos,Municipio_3,Circuito_7
PLACA_0004,PLACA_0095,Transformador,2014-05-27 03:00:00,2014-05-27 03:31:48,0.53,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_9
PLACA_0100,PLACA_0034,Conductor,2013-08-30 08:00:00,2013-08-30 10:52:12,2.87,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_4
PLACA_0016,PLACA_0018,Poste,2015-10-03 06:00:00,2015-10-03 06:18:00,0.3,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_3
PLACA_0109,PLACA_0041,Conductor,2013-06-29 21:00:00,2013-06-29 23:48:00,2.8,Otros,Cometa sobre la linea reportada por vecinos,Municipio_3,Circuito_12
PLACA_0109,PLACA_0021,Conductor,2014-08-18 09:00:00,2014-08-18 12:56:24,3.94,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_6,Circuito_15
PLACA_0029,PLACA_0016,Transformador,2015-01-11 16:00:00,2015-01-11 17:18:00,1.3,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_4
PLACA_0074,PLACA_0048,Fusible,2015-01-10 17:00:00,2015-01-10 19:51:36,2.86,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_5,Circuito_3
PLACA_0051,PLACA_0092,Conductor,2013-05-15 09:00:00,2013-05-15 14:48:36,5.81,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_4,Circuito_9
PLACA_0017,PLACA_0041,Conductor,2016-03-23 02:00:00,2016-03-23 03:55:48,1.93,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_8
PLACA_0113,PLACA_0107,Aislador,2014-12-07 04:00:00,2014-12-07 05:30:36,1.51,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_6,Circuito_10
PLACA_0117,PLACA_0112,Poste,2015-06-06 16:00:00,2015-06-06 18:45:36,2.76,Contacto animal,Ave posada provoco corto en el aislador,Municipio_1,Circuito_9
PLACA_0120,PLACA_0091,Transformador,2013-11-28 10:00:00,2013-11-28 11:10:48,1.18,Contacto animal,Ave posada provoco corto en el aislador,Municipio_3,Circuito_9
PLACA_0082,PLACA_0071,Seccionador,2014-05-29 06:00:00,2014-05-29 16:16:12,10.27,Otros,Objeto extraño enredado en la red de distribucion,Municipio_2,Circuito_11
PLACA_0083,PLACA_0022,Aislador,2013-07-11 16:00:00,2013-07-11 19:04:48,3.08,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_3
PLACA_0108,PLACA_0119,Aislador,2016-05-24 10:00:00,2016-05-24 11:39:00,1.65,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_1,Circuito_14
PLACA_0099,PLACA_0074,Seccionador,2013-04-04 20:00:00,2013-04-04 23:31:48,3.53,Otros,Objeto extraño enredado en la red de distribucion,Municipio_6,Circuito_4
PLACA_0004,PLACA_0064,Conductor,2016-06-19 20:00:00,2016-06-19 22:45:00,2.75,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_5
PLACA_0104,PLACA_0104,Conductor,2015-09-17 07:00:00,2015-09-17 09:31:12,2.52,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_5
PLACA_0057,PLACA_0054,Fusible,2013-05-03 05:00:00,2013-05-03 06:55:48,1.93,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_4
PLACA_0041,PLACA_0094,Seccionador,2014-10-03 22:00:00,2014-10-03 23:51:00,1.85,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_3
PLACA_0041,PLACA_0031,Fusible,2016-02-25 03:00:00,2016-02-25 03:40:48,0.68,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_5
PLACA_0038,PLACA_0050,Aislador,2013-07-18 01:00:00,2013-07-18 08:25:48,7.43,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_4
PLACA_0093,PLACA_0041,Transformador,2014-11-02 18:00:00,2014-11-02 22:33:00,4.55,Otros,Objeto extraño enredado en la red de distribucion,Municipio_2,Circuito_8
PLACA_0064,PLACA_0003,Poste,2015-10-19 09:00:00,2015-10-19 12:46:48,3.78,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_9
PLACA_0046,PLACA_0007,Poste,2014-03-17 18:00:00,2014-03-17 20:42:36,2.71,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_3,Circuito_8
PLACA_0037,PLACA_0069,Poste,2016-10-09 15:00:00,2016-10-09 16:16:48,1.28,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_7
PLACA_0047,PLACA_0006,Fusible,2015-01-20 12:00:00,2015-01-20 13:33:36,1.56,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_1,Circuito_10
PLACA_0010,PLACA_0050,Aislador,2016-02-08 09:00:00,2016-02-08 09:45:36,0.76,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_13
PLACA_0016,PLACA_0017,Poste,2016-10-25 19:00:00,2016-10-25 20:43:48,1.73,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_6
PLACA_0097,PLACA_0019,Transformador,2016-02-17 11:00:00,2016-02-17 12:07:12,1.12,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_9
PLACA_0018,PLACA_0092,Seccionador,2013-04-03 01:00:00,2013-04-03 09:52:48,8.88,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_9
PLACA_0042,PLACA_0120,Aislador,2015-11-22 04:00:00,2015-11-22 09:33:00,5.55,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_3,Circuito_3
PLACA_0044,PLACA_0065,Aislador,2014-09-05 18:00:00,2014-09-05 21:10:48,3.18,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_8
PLACA_0048,PLACA_0043,Conductor,2015-08-31 00:00:00,2015-08-31 01:24:36,1.41,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_1,Circuito_7
PLACA_0077,PLACA_0061,Seccionador,2016-07-12 00:00:00,2016-07-12 01:10:48,1.18,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_13
PLACA_0093,PLACA_0007,Aislador,2016-03-28 07:00:00,2016-03-28 09:34:48,2.58,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_4,Circuito_3
PLACA_0019,PLACA_0106,Conductor,2016-06-23 12:00:00,2016-06-23 17:42:36,5.71,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_1
PLACA_0003,PLACA_0057,Seccionador,2013-08-14 06:00:00,2013-08-14 06:46:48,0.78,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_3
PLACA_0100,PLACA_0079,Fusible,2015-04-21 16:00:00,2015-04-21 20:30:36,4.51,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_12
PLACA_0072,PLACA_0042,Conductor,2015-11-29 06:00:00,2015-11-29 07:43:48,1.73,Contacto animal,Ave posada provoco corto en el aislador,Municipio_4,Circuito_9
PLACA_0044,PLACA_0070,Seccionador,2015-07-31 17:00:00,2015-07-31 19:00:00,2.0,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_13
PLACA_0034,PLACA_0079,Fusible,2016-08-10 22:00:00,2016-08-11 01:06:36,3.11,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_2,Circuito_4
PLACA_0099,PLACA_0037,Conductor,2014-04-06 09:00:00,2014-04-06 10:27:00,1.45,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_2,Circuito_12
PLACA_0072,PLACA_0120,Conductor,2015-09-10 11:00:00,2015-09-10 13:28:48,2.48,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_3,Circuito_5
